,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Colorado
5,Connecticut
6,Delaware
7,Florida
8,Georgia
9,Hawaii
10,Idaho
11,Indiana
12,Iowa
13,Kansas
14,Kentucky
15,Louisiana
16,Maine
17,Massachusetts
18,Michigan
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nebraska
24,Nevada
25,New Hampshire
26,New Mexico
27,New York
28,North Carolina
29,North Dakota
30,Ohio
31,Oklahoma
32,Oregon
33,Pennsylvania
34,Rhode Island
35,South Carolina
36,South Dakota
37,Tennessee
38,Texas
39,Utah
40,Vermont
41,Virginia
42,Washington
43,West Virginia
44,Wisconsin
45,Wyoming
